Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Series,Year,Engine cc,Type,PartNumber
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80/90,,893A 89AAD,86-91,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,89NG,89-91,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,89NG,89-91,,,"－
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80,,8CABK 8CNG,91-95,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8CABC 8CAAH,91-95,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80/90 QUATTRO,,89SDF 893AF,86-91,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,89-91,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,89-91,,,"－
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80 QUATTRO,,,91-95,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,93-95,,,"－
EIP043"
