Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Series,Year,Engine cc,Type,PartNumber
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アイシス,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_isis.html,,H16.9～,1800,ZNM10W/10G ZGM10W/10G,"EP404
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アイシス,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_isis.html,,H16.9～,2000,ANM10W/10G/15W/15G ZGM11W/11G/15W/15G,"EP404
EP385"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,IQ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_iq.html,,H20.11～H28.03,1000,KGJ10,"EP382
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,IQ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_iq.html,,H21.08～H28.03,1300,NGJ10 (ゴー含む),"EP382
EP434"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,AQUA,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_aqua.html,,H23.12～,1500,NHP10(G's/X URBAN含む),"EP435
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アバロン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_avaron.html,,H7.5～H9.9,3000～,MCX10,"EP225
EP293"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アバロン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_avaron.html,,H9.9～H12.02,3000～,MCX10,"EP360
EP293"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリオン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_allion.html,,H13.12～H19.5,1500～1800,ZZT240 NZT240,"EP382
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリオン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_allion.html,,H13.12～H19.5,1800～2000,AZT240 ZZT245,"EP380
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリオン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_allion.html,,H19.05～,1500,NZT260(14インチホイール車・φ255ディスク),"EP435
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリオン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_allion.html,,H19.05～,1500,NZT260(15・16インチホイール車・φ275ディスク),"EP449
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリオン,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_allion.html,,H19.05～,1800～2000,ZRT260 ZRT261 ZRT265,"EP449
-"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリスト,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_aristo.html,,H3.10～H5.8,3000,JZS147 (ターボ),"EP261
EP281"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリスト,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_aristo.html,,H3.10～H9.8,3000,JZS147 (NA),"EP225
EP281"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリスト,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_aristo.html,,H4.10～H9.8,4000,UZS143 (4WD),"EP292
EP281"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリスト,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_aristo.html,,H5.8～H9.8,3000,JZS147 (ターボ),"EP292
EP281"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アリスト,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_aristo.html,,H9.8～H17.01,3000,JZS160/161,"EP292
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルテッツァ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_alltezza.html,,H10.10～H13.5,2000,SXE10 (5A/T) GXE10,"EP225
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルテッツァ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_alltezza.html,,H10.10～H17.7,2000,SXE10 (6M/T) SXE10 (5A/T･純正17インチホイール装着車･オプションキャリパー),"EP292
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルテッツァ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_alltezza.html,,H13.5～H17.7,2000,GXE10 (6M/T･純正17インチホイール装着車),"EP292
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルテッツァ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_alltezza.html,,H13.5～H17.7,2000,SXE10 (5A/T) GXE10,"EP380
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルテッツァ ジータ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_alltezza_gita.html,,H13.7～H17.07,2000～3000,JCE10W/15W GXE10W (純正17インチホイール装着車),"EP292
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルテッツァ ジータ,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_alltezza_gita.html,,H13.7～H17.07,2000,GXE10W,"EP380
EP354"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H14.5～H20.5,2400～3000,MNH10W/MNH15W ANH10W/ANH15W,"EP403
EP385"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H15.7～H20.4,2400,ATH10W (ハイブリッド),"EP403
EP385"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H20.5～H27.1,2400～3500,ANH20W/ANH25W GGH20W/GGH25W,"EP442
EP443"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H23.11～H27.1,2400,ATH20W (ハイブリッド),"EP442
EP443"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H24.11～H27.1,2400～3500,ANH20W GGH20W (G's),"EP477
EP443"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H27.1～,2500,AGH30W/AGH35W,"EP442
EP514"
ブレーキパッドトップ,https://www.endless-sport.co.jp/products/brake_pad/index.html,Toyota,https://www.endless-sport.co.jp/products/brake_pad/TOYOTA_car_list.html,アルファード,https://www.endless-sport.co.jp/products/brake_pad/carlist/toyota/TOYOTA_arufado.html,,H27.1～H29.12,3500,GGH30W/GGH35W,"EP442
EP514"
