partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
390001,VW/SKODA/AUDI/SEAT 04-,VW/SKODA/AUDI/SEAT ,,,,2004,,,,,,,,,"{""make"": ""VW/SKODA/AUDI/SEAT"", ""model"": """", ""engine"": """"}","{""make"": ""VW/SKODA/AUDI/SEAT"", ""model"": """", ""engine"": """"}"
390002,VW/AUDI 04-,VW/AUDI ,,,,2004,,,,,,,,,"{""make"": ""VW/AUDI"", ""model"": """", ""engine"": """"}","{""make"": ""VW/AUDI"", ""model"": """", ""engine"": """"}"
390004,VW Sharan 1.9D 96-,VW Sharan 1.9D ,,,,1996,,,,,,,,,"{""make"": ""VW"", ""model"": ""Sharan"", ""engine"": ""1.9D""}","{""make"": ""VW"", ""model"": ""Sharan"", ""engine"": ""1.9D""}"
390005,VW Touareg 3.0D 03-,VW Touareg 3.0D ,,,,2003,,,,,,,,,"{""make"": ""VW"", ""model"": ""Touareg"", ""engine"": ""3.0D""}","{""make"": ""VW"", ""model"": ""Touareg"", ""engine"": ""3.0D""}"
390006,BMW X5 3.0D 00-,BMW X5 3.0D ,,,,2000,,,,,,,,,"{""make"": ""BMW"", ""model"": ""X5"", ""engine"": ""3.0D""}","{""make"": ""BMW"", ""model"": ""X5"", ""engine"": ""3.0D""}"
390007,BMW 5 (E60)  01-,BMW 5 (E60)  ,,,,2001,,,,,,,,,"{""make"": ""BMW"", ""model"": ""5"", ""engine"": ""(E60)""}","{""make"": ""BMW"", ""model"": ""5"", ""engine"": ""(E60)""}"
390008,PEUGEOT 207 / 308  06-,PEUGEOT 207 / 308  ,,,,2006,,,,,,,,,"{""make"": ""PEUGEOT"", ""model"": ""207"", ""engine"": ""/""}","{""make"": ""PEUGEOT"", ""model"": ""207 / 308"", ""engine"": ""/""}"
390009,VW Golf 1.4 09-,VW Golf 1.4 ,,,,2009,,,,,,,,,"{""make"": ""VW"", ""model"": ""Golf"", ""engine"": ""1.4""}","{""make"": ""VW"", ""model"": ""Golf"", ""engine"": ""1.4""}"
390010,AUDI A6 2.0D 11-,AUDI A6 2.0D ,,,,2011,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A6"", ""engine"": ""2.0D""}","{""make"": ""AUDI"", ""model"": ""A6"", ""engine"": ""2.0D""}"
390011,AUDI A3 2.0 04-,AUDI A3 2.0 ,,,,2004,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A3"", ""engine"": ""2.0""}","{""make"": ""AUDI"", ""model"": ""A3"", ""engine"": ""2.0""}"
390012,BMW X5 3.0D 14-,BMW X5 3.0D ,,,,2014,,,,,,,,,"{""make"": ""BMW"", ""model"": ""X5"", ""engine"": ""3.0D""}","{""make"": ""BMW"", ""model"": ""X5"", ""engine"": ""3.0D""}"
390013,VW Transporter 2.5D 03-,VW Transporter 2.5D ,,,,2003,,,,,,,,,"{""make"": ""VW"", ""model"": ""Transporter"", ""engine"": ""2.5D""}","{""make"": ""VW"", ""model"": ""Transporter"", ""engine"": ""2.5D""}"
390014,VW/SKODA/AUDI/SEAT  10-,VW/SKODA/AUDI/SEAT  ,,,,2010,,,,,,,,,"{""make"": ""VW/SKODA/AUDI/SEAT"", ""model"": """", ""engine"": """"}","{""make"": ""VW/SKODA/AUDI/SEAT"", ""model"": """", ""engine"": """"}"
390015,AUDI A4 2.0D 08-,AUDI A4 2.0D ,,,,2008,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""A4"", ""engine"": ""2.0D""}","{""make"": ""AUDI"", ""model"": ""A4"", ""engine"": ""2.0D""}"
390016,VW Tiguan 2.0D 08-,VW Tiguan 2.0D ,,,,2008,,,,,,,,,"{""make"": ""VW"", ""model"": ""Tiguan"", ""engine"": ""2.0D""}","{""make"": ""VW"", ""model"": ""Tiguan"", ""engine"": ""2.0D""}"
390017,VW Golf 2.0 04-,VW Golf 2.0 ,,,,2004,,,,,,,,,"{""make"": ""VW"", ""model"": ""Golf"", ""engine"": ""2.0""}","{""make"": ""VW"", ""model"": ""Golf"", ""engine"": ""2.0""}"
