partnumber,name,description,images,retailprice,parttype,Brand,sku,Barcode,EAN,WeightGrams,DimensionsLengthMM,DimensionsWidthMM,DimensionsHeightMM,Gtin14
390001,VW/SKODA/AUDI/SEAT 04-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390001_1500x1000_wm_001.jpg,,,NRF,390001,,'8718042354723,,,,,
390002,VW/AUDI 04-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390002_1500x1000_WM_001_1.jpg,,,NRF,390002,,'8718042354747,,,,,
390004,VW Sharan 1.9D 96-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390004_1500x1000_WM_001_1.jpg,,,NRF,390004,,'8718042321800,,,,,
390005,VW Touareg 3.0D 03-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390005_1500x1000_WM_001_2.jpg,,,NRF,390005,,'8718042321824,,,,,
390006,BMW X5 3.0D 00-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390006_1500x1000_WM_001_1.jpg,,,NRF,390006,,'8718042321848,,,,,
390007,BMW 5 (E60)  01-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390007_1500x1000_WM_001_1.jpg,,,NRF,390007,,'8718042344700,,,,,
390008,PEUGEOT 207 / 308  06-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390008_1500x1000_WM_001_2.jpg,,,NRF,390008,,'8718042344724,,,,,
390009,VW Golf 1.4 09-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390009_1500x1000_WM_001_1.jpg,,,NRF,390009,,'8718042321862,,,,,
390010,AUDI A6 2.0D 11-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390010_1500x1000_WM_001_2.jpg,,,NRF,390010,,'8718042328380,,,,,
390011,AUDI A3 2.0 04-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390011_1500x1000_WM_001_1.jpg,,,NRF,390011,,'8718042321886,,,,,
390012,BMW X5 3.0D 14-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/3/9/390012_1500x1000_WM_001_1.jpg,,,NRF,390012,,'8718042335807,,,,,
