partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
390001,VW/SKODA/AUDI/SEAT 04-,VW/SKODA/AUDI/SEAT ,,,,2004,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390002,VW/AUDI 04-,VW/AUDI ,,,,2004,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390004,VW Sharan 1.9D 96-,VW Sharan 1.9D ,,,,1996,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390005,VW Touareg 3.0D 03-,VW Touareg 3.0D ,,,,2003,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390006,BMW X5 3.0D 00-,BMW X5 3.0D ,,,,2000,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390007,BMW 5 (E60)  01-,BMW 5 (E60)  ,,,,2001,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390008,PEUGEOT 207 / 308  06-,PEUGEOT 207 / 308  ,,,,2006,,,,,,,,,"{""make"": ""P"", ""model"": ""E"", ""engine"": ""U""}","{""make"": ""P"", ""model"": ""E"", ""engine"": ""U""}"
390009,VW Golf 1.4 09-,VW Golf 1.4 ,,,,2009,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390010,AUDI A6 2.0D 11-,AUDI A6 2.0D ,,,,2011,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390011,AUDI A3 2.0 04-,AUDI A3 2.0 ,,,,2004,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390012,BMW X5 3.0D 14-,BMW X5 3.0D ,,,,2014,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390013,VW Transporter 2.5D 03-,VW Transporter 2.5D ,,,,2003,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390014,VW/SKODA/AUDI/SEAT  10-,VW/SKODA/AUDI/SEAT  ,,,,2010,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390015,AUDI A4 2.0D 08-,AUDI A4 2.0D ,,,,2008,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390016,VW Tiguan 2.0D 08-,VW Tiguan 2.0D ,,,,2008,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390017,VW Golf 2.0 04-,VW Golf 2.0 ,,,,2004,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390018,AUDI A4 1.8 08-,AUDI A4 1.8 ,,,,2008,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390019,BMW 5 4.4 10-,BMW 5 4.4 ,,,,2010,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390020,VW Transporter 1.9D 91-,VW Transporter 1.9D ,,,,1991,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390021,MERCEDES A-Series 2.0D 05-,MERCEDES A-Series 2.0D ,,,,2005,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390022,VW Transporter 2.5D 91-,VW Transporter 2.5D ,,,,1991,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390023,VW Golf 1.4 98-,VW Golf 1.4 ,,,,1998,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390024,AUDI A4 2.0 05-,AUDI A4 2.0 ,,,,2005,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390025,MERCEDES C-Series 1.8 94-,MERCEDES C-Series 1.8 ,,,,1994,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390026,MERCEDES E-Series 2.2D 09-,MERCEDES E-Series 2.2D ,,,,2009,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390027,LAND-ROVER Range Rover 4.2 02-,LAND-ROVER Range Rover 4.2 ,,,,2002,,,,,,,,,"{""make"": ""L"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""L"", ""model"": ""A"", ""engine"": ""N""}"
390030,VOLVO XC60 2.0D 09-,VOLVO XC60 2.0D ,,,,2009,,,,,,,,,"{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}","{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}"
390031,VW/SEAT/AUDI/SKODA 04-,VW/SEAT/AUDI/SKODA ,,,,2004,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390032,CITROEN/PEUGEOT 08-,CITROEN/PEUGEOT ,,,,2008,,,,,,,,,"{""make"": ""C"", ""model"": ""I"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""I"", ""engine"": ""T""}"
390033,VW/SKODA/SEAT 09-,VW/SKODA/SEAT ,,,,2009,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390034,MERCEDES ACTROS MP4/MP5 11-,MERCEDES ACTROS MP4/MP5 ,,,,2011,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390035,FORD 12-,FORD ,,,,2012,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
390036,TOYOTA PRIUS 04-,TOYOTA PRIUS ,,,,2004,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
390037,MERCEDES C (W203) 00-,MERCEDES C (W203) ,,,,2000,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390038,MERCEDES C (W204) 07-,MERCEDES C (W204) ,,,,2007,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390039,VW GOLF VII 12-,VW GOLF VII ,,,,2012,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390040,BMW 3-series / i3 11-,BMW 3-series / i3 ,,,,2011,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390041,VW AMAROK 10-,VW AMAROK ,,,,2010,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390042,VW TOUAREG 03-,VW TOUAREG ,,,,2003,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390043,AUDI A6 00-,AUDI A6 ,,,,2000,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390044,VW/AUDI 12-,VW/AUDI ,,,,2012,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390045,BMW 1-Series 11-,BMW 1-Series ,,,,2011,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390046,BMW 5-Series 10-,BMW 5-Series ,,,,2010,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390047,MERCEDES 94-,MERCEDES ,,,,1994,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390048,FORD FOCUS 11-,FORD FOCUS ,,,,2011,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
390049,VW/AUDI/SKODA/SEAT 12-,VW/AUDI/SKODA/SEAT ,,,,2012,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390050,AUDI/VW/SEAT/SKODA 08-,AUDI/VW/SEAT/SKODA ,,,,2008,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390051,AUDI A4/Q5 07-,AUDI A4/Q5 ,,,,2007,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390052,AUDI A4/A5 08-,AUDI A4/A5 ,,,,2008,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390053,VW/SKODA 05-,VW/SKODA ,,,,2005,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390054,AUDI A6 04-,AUDI A6 ,,,,2004,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390055,VW PASSAT 01-,VW PASSAT ,,,,2001,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390056,AUDI Q5/Q7 06-,AUDI Q5/Q7 ,,,,2006,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390057,FORD 95-,FORD ,,,,1995,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
390058,BMW 5-Series 10-,BMW 5-Series ,,,,2010,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390059,MERCEDES A-CLASS 12-,MERCEDES A-CLASS ,,,,2012,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390060,MERCEDES C-Series 00-,MERCEDES C-Series ,,,,2000,,,,,,,,,"{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}","{""make"": ""M"", ""model"": ""E"", ""engine"": ""R""}"
390061,AUDI Q5 09-,AUDI Q5 ,,,,2009,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
390062,VW GOLF VII 12-,VW GOLF VII ,,,,2012,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
390063,VW/AUDI 12-,VW/AUDI ,,,,2012,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}","{""make"": ""V"", ""model"": ""W"", ""engine"": ""/""}"
390064,CITROEN C3 17-,CITROEN C3 ,,,,2017,,,,,,,,,"{""make"": ""C"", ""model"": ""I"", ""engine"": ""T""}","{""make"": ""C"", ""model"": ""I"", ""engine"": ""T""}"
390065,FORD FIESTA 17-,FORD FIESTA ,,,,2017,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
390066,LAND-ROVER Discovery Sport 15-,LAND-ROVER Discovery Sport ,,,,2015,,,,,,,,,"{""make"": ""L"", ""model"": ""A"", ""engine"": ""N""}","{""make"": ""L"", ""model"": ""A"", ""engine"": ""N""}"
390067,TOYOTA CH-R 17-,TOYOTA CH-R ,,,,2017,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
390068,TESLA S 13-,TESLA S ,,,,2013,,,,,,,,,"{""make"": ""T"", ""model"": ""E"", ""engine"": ""S""}","{""make"": ""T"", ""model"": ""E"", ""engine"": ""S""}"
390069,BMW  11-,BMW  ,,,,2011,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
390070,TOYOTA C-HR 17-,TOYOTA C-HR ,,,,2017,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
