partnumber,name,description,images,retailprice,parttype,Brand,sku,Barcode,EAN,WeightGrams,DimensionsLengthMM,DimensionsWidthMM,DimensionsHeightMM,Gtin14
PP1214,Pipercross Car Panel Filter PP1214,"Pipercross Panel Filter  PP1214 measures 302mm x 170mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1214_0b9f53a1-4acf-4ca1-9c80-c540030eabb8_2048x.jpg?v=1587378798,41.99,,Pipercross,PP1214,,,,,,,
PP1363,Pipercross Car Panel Filter PP1363,"Pipercross Panel Filter  PP1363 measures 244mm x 169mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1363_3dba8caf-75b5-4e75-ac44-7c09070cd1a4_2048x.jpg?v=1587378730,41.99,,Pipercross,PP1363,,,,,,,
PP1265,Pipercross Car Panel Filter PP1265,"Pipercross Panel Filter  PP1265 measures 245mm x 131mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1265_6921cd10-9fda-44d3-837a-e4e455ee82c1_2048x.jpg?v=1587378772,41.99,,Pipercross,PP1265,,,,,,,
PP1482,Pipercross Car Panel Filter PP1482,"Pipercross Panel Filter  PP1482 measures 305mm x 135mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1482_6ce6788e-3cb4-4660-b4a9-9f8123835475_2048x.jpg?v=1587378654,41.99,,Pipercross,PP1482,,,,,,,
PP1839,Pipercross Car Panel Filter PP1839,"Pipercross Panel Filter  PP1839 measures 295mm x 162mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1839_045fb5f5-80ab-4c8f-9374-45f7c7eccc24_2048x.jpg?v=1587378428,41.99,,Pipercross,PP1839,,,,,,,
PX1403,Pipercross Car Panel Filter PX1403,"Pipercross Panel Filter  PX1403 measures 145mm x 88mm x 250mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX1403_70bbf992-7fb9-4aac-9a14-cc44a5ff338d_2048x.jpg?v=1587378209,41.99,,Pipercross,PX1403,,,,,,,
PP1378,Pipercross Car Panel Filter PP1378,"Pipercross Panel Filter  PP1378 measures 244mm x 178mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1378_33756345-4b8f-4bd8-b8b9-f612ff298c42_2048x.jpg?v=1587378714,41.99,,Pipercross,PP1378,,,,,,,
PX1635,Pipercross Car Panel Filter PX1635,"Pipercross Panel Filter  PX1635 measures 195mm x 122mm x 246mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX1635_96616245-cecb-482b-b43a-826c3a1a8b24_2048x.jpg?v=1587378191,41.99,,Pipercross,PX1635,,,,,,,
PP1218,Pipercross Car Panel Filter PP1218,"Pipercross Panel Filter  PP1218 measures 333mm x 226mm
Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects

Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PP1218_7ff6875e-12ff-4a2a-9c37-79a43832bd7c_2048x.jpg?v=1587378792,41.99,,Pipercross,PP1218,,,,,,,
PX2073,Pipercross Car Panel Filter PX2073,"Benefits of a Pipercross panel filter:

30-40% more air flow over your OEM paper filter
Better for the environment (washable and reuseable)
Improved fuel economy
Lifetime warranty on manufacturing defects
Handmade in the UK

The??low maintenance and long lifespan??aspects of a Pipercross filter come from the special triple layer foam that is used on all Pipercross filters. The outer core is coarse foam designed to trap larger particles, the middle core is Medium foam designed to trap most particles and the inner core is fine foam which will trap the remainder of the particles. The triple layer foam design ensures an??exceptional level of engine protection in any conditions.
Pipercross, based in the UK home of motorsport have over??30??years of road and track racing experience??when it comes to filtration. Through this experience and engineering only the highest quality is achieved which is passed onto you through more power, torque, fuel economy & throttle response. Why settle for lesser filter brands which only have road experience when you can have quality proven on the track?",https://cdn.shopify.com/s/files/1/0247/5225/9121/products/PX2073_2048x.jpg?v=1618998834,52.99,,Pipercross,PX2073,,,,,,,
