Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Year,Engine cc,Type,PartNumber
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,レクサス / LEXUS,https://www.endless-sport.co.jp/products/brake_rotor/index_lexus.html,+　IS-F/USE20 07.12～,https://www.endless-sport.co.jp/products/brake_rotor/index_lexus.html,,,Racing E－SLIT,ER264REA
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,レクサス / LEXUS,https://www.endless-sport.co.jp/products/brake_rotor/index_lexus.html,+　IS-F/USE20 07.12～,https://www.endless-sport.co.jp/products/brake_rotor/index_lexus.html,,,Racing E－SLIT,ER265REQA
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS147／UZS143  91.10～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,BASIC,ER220B
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS147／UZS143  91.10～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,CURVING SLIT,ER220CSN
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS147／UZS143  91.10～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,E－SLIT,ER220ES
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS147／UZS143  91.10～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,Racing E－SLIT,ER220REA
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS160／JZS161  97.8～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,BASIC,ER220B
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS160／JZS161  97.8～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,CURVING SLIT,ER220CSN
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS160／JZS161  97.8～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,E－SLIT,ER220ES
ブレーキローター,https://www.endless-sport.co.jp/products/brake_rotor/index.html,トヨタ / TOYOTA,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,+　アリスト JZS160／JZS161  97.8～,https://www.endless-sport.co.jp/products/brake_rotor/index_toyota.html,,,Racing E－SLIT,ER220REA
