partnumber,VehicleRawProperties,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,Brand,UvdbFromYearID,UvdbToYearID,Action,,,,,,,,,,,,,,,,
SPPCF01093B,"{""Audi A1 (8X)"":""Hatchback (2WD) 1.2TFSi1.4TFSi,1.6TDi,2.0TDi,Excluding S1 Quattro, 2010-2018 (8X)""}",0,,1,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF08036B,"{""Audi A3 (8P)"":""Hatchback (2WD) 1.2TFSi1.4TFSi,1.6,1.6FSi,1.8TFSi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2012 (8P1)""}",0,,2,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF02036B,"{""Audi A3 (8P)"":""Hatchback (2WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2012 (8P1)""}",0,,3,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF01036B,"{""Audi A3 (8P)"":""Hatchback (Quattro) 3.2FSi V6Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2012 (8P1)""}",0,,4,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF07036B,"{""Audi A3 (8P)"":""Hatchback (Quattro) S3 2.0TFSiWill only fit models fitted with 55mm front struts (not 50mm)., 2006-2012 (8P1)""}",0,,5,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF09036B,"{""Audi A3 (8P)"":""Cabriolet (2WD) 1.2TFSi1.4TFSi,1.6FSi,1.8TFSi,2.0FSi,2.0TFSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2010 (8P7)""}",0,,6,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF03036B,"{""Audi A3 (8P)"":""Cabriolet (2WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2010 (8P7)""}",0,,7,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF10036B,"{""Audi A3 (8P)"":""Sportback (2WD) 1.2TFSi1.4TFSi,1.6,1.6FSi,1.8TFSi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (8PA)""}",0,,8,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF04036B,"{""Audi A3 (8P)"":""Sportback (2WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (8PA)""}",0,,9,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF05036B,"{""Audi A3 (8P)"":""Sportback (Quattro) 2.0TFSi2.0TDi,3.2FSi V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (8PA)""}",0,,10,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF06036B,"{""Audi A3 (8P)"":""Sportback (Quattro) S3 2.0TFSiWill only fit models fitted with 55mm front struts (not 50mm)., 2006-2012 (8PA)""}",0,,11,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF11036B,"{""Audi TT (8J)"":""Coupe (2WD & Quattro) 1.8TFSi2.0TFSi,3.2 V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2006-2014 (8J)""}",0,,12,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF11036B,"{""Audi TT (8J)"":""Roadster (2WD & Quattro) 1.8TFSi2.0TFSi,3.2 V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2006-2014 (8J)""}",0,,13,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF01027B,"{""BMW 1 Series (E81/E82/E87/E88)"":""Hatchback 116i118i,120i,125i,128i,130i,116D,118D,120D,123D, 2004-2011 (E81)""}",0,,14,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF02027B,"{""BMW 1 Series (E81/E82/E87/E88)"":""Coupe 116i118i,120i,125i,128i,130i,116D,118D,120D,123D, 2004-2011 (E82)""}",0,,15,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF03027B,"{""BMW 1 Series (E81/E82/E87/E88)"":""Hatchback 116i118i,120i,125i,128i,130i,116D,118D,120D,123D, 2004-2011 (E87)""}",0,,16,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF04027B,"{""BMW 1 Series (E81/E82/E87/E88)"":""Convertible 116i118i,120i,125i,128i,130i,116D,118D,120D,123D, 2004-2011 (E88)""}",0,,17,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF05027B,"{""BMW 3 Series (E90/E91/E92/E93)"":""Saloon (2WD) 316i318i,320i,323i,325i,328i,330i,335i,316D,318D,320D,325D,330D,Excluding M3, 2005-2013 (E90)""}",0,,18,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF06027B,"{""BMW 3 Series (E90/E91/E92/E93)"":""Touring (2WD) 316i318i,320i,323i,325i,328i,330i,335i,316D,318D,320D,325D,330D,Excluding M3, 2005-2012 (E91)""}",0,,19,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF07027B,"{""BMW 3 Series (E90/E91/E92/E93)"":""Coupe (2WD) 316i318i,320i,323i,325i,328i,330i,335i,316D,318D,320D,325D,330D,Excluding M3, 2006-2013 (E92)""}",0,,20,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF08027B,"{""BMW 3 Series (E90/E91/E92/E93)"":""Cabriolet (2WD) 316i318i,320i,323i,325i,328i,330i,335i,316D,318D,320D,325D,330D,Excluding M3, 2007-2013 (E93)""}",0,,21,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF12036B,"{""Seat Altea"":""MPV (2WD & 4WD) 1.2TSi1.4,1.4TSi,1.6,1.8TSi,2.0FSi,2.0TSi FR,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004- (5P)""}",0,,22,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF13036B,"{""Seat Altea"":""MPV (2WD & 4WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004- (5P)""}",0,,23,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF02093B,"{""Seat Ibiza Mk 4 (6J)"":""Hatchback 1.21.2TSi,1.4,1.4TSi,1.4TSi Cupra,1.6 16v,1.8TSi Cupra,1.2TDi,1.4TDi,1.6TDi,1.9TDi,2.0TDi FR,Including Bocanegra, 2008-2017 (6J)""}",0,,24,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF16036B,"{""Seat Leon Mk 2 (1P)"":""Hatchback 1.2TSi1.4,1.4TSi,1.6,1.8TSi,2.0FSi,2.0TFSi,2.0TFSi FR,2.0TSi FR,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2012 (1P)""}",0,,25,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF15036B,"{""Seat Leon Mk 2 (1P)"":""Hatchback 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2012 (1P)""}",0,,26,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF14036B,"{""Seat Leon Mk 2 (1P)"":""Hatchback 2.0TFSi Cupra2.0TFSi Cupra R,2.0TFSi Copa,2.0TFSi Cupra 310 Ltd.Edition,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2012 (1P)""}",0,,27,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF18036B,"{""Seat Toledo Mk 3 (5P)"":""Saloon 1.41.6,1.8TSi,2.0FSi,2.0TFSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (5P)""}",0,,28,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF17036B,"{""Seat Toledo Mk 3 (5P)"":""Saloon 1.9TDi2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (5P)""}",0,,29,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF03093B,"{""Skoda Fabia Mk 2 (5J)"":""Hatchback 1.2MPi1.2TSi,1.4MPi,1.4TSi,1.6MPi,1.2TDi,1.4TDi,1.6TDi,1.9TDi, 2007-2014 (5J)""}",0,,30,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF03093B,"{""Skoda Fabia Mk 2 (5J)"":""Estate 1.2MPi1.2TSi,1.4MPi,1.4TSi,1.6MPi,1.2TDi,1.4TDi,1.6TDi,1.9TDi, 2007-2014 (5J)""}",0,,31,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF04093B,"{""Skoda Fabia Mk 3 (NJ)"":""Estate 1.0MPi1.2TSi,1.4TDi, 2015- (NJ)""}",0,,32,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF04093B,"{""Skoda Fabia Mk 3 (NJ)"":""Hatchback 1.0MPi1.2TSi,1.4TDi, 2015- (NJ)""}",0,,33,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF21036B,"{""Skoda Octavia Mk 2 (1Z)"":""Estate (2WD & 4WD) 1.2TSi1.3MPi,1.4MPi,1.4TSi,1.6 8v,1.6MPi,1.6FSi,1.8TSi,2.0MPi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (1Z)""}",0,,34,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF20036B,"{""Skoda Octavia Mk 2 (1Z)"":""Estate (2WD & 4WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (1Z)""}",0,,35,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF19036B,"{""Skoda Octavia Mk 2 (1Z)"":""Estate (2WD & 4WD) 2.0TFSi vRS2.0TSi vRS,2.0TDi vRS,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (1Z)""}",0,,36,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF21036B,"{""Skoda Octavia Mk 2 (1Z)"":""Saloon (2WD & 4WD) 1.2TSi1.3MPi,1.4MPi,1.4TSi,1.6 8v,1.6MPi,1.6FSi,1.8TSi,2.0MPi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (1Z)""}",0,,37,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF20036B,"{""Skoda Octavia Mk 2 (1Z)"":""Saloon (2WD & 4WD) 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (1Z)""}",0,,38,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF19036B,"{""Skoda Octavia Mk 2 (1Z)"":""Saloon (2WD & 4WD) 2.0TFSi vRS2.0TSi vRS,2.0TDi vRS,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2012 (1Z)""}",0,,39,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF22036B,"{""Skoda Superb Mk 2 (3T)"":""Estate 1.4TSi1.8TSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2015 (3T)""}",0,,40,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF23036B,"{""Skoda Superb Mk 2 (3T)"":""Estate 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2015 (3T)""}",0,,41,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF22036B,"{""Skoda Superb Mk 2 (3T)"":""Saloon 1.4TSi1.8TSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2015 (3T)""}",0,,42,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF23036B,"{""Skoda Superb Mk 2 (3T)"":""Saloon 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2015 (3T)""}",0,,43,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF24036B,"{""VW Beetle (A5)"":""Cabriolet (2WD) 1.2TSi1.4TSi,1.8TSi,2.0TSi,1.6TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2011- (A5/5C)""}",0,,44,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF24036B,"{""VW Beetle (A5)"":""Hatchback (2WD) 1.2TSi1.4TSi,1.8TSi,2.0TSi,1.6TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2011- (A5/5C)""}",0,,45,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF25036B,"{""VW Eos"":""Cabriolet 1.4TSi1.6FSi,2.0FSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2011 (1F)""}",0,,46,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF26036B,"{""VW Eos"":""Cabriolet 2.0TFSi2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2011 (1F)""}",0,,47,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF54036B,"{""VW Eos"":""Cabriolet 3.2 V6Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2011 (1F)""}",0,,48,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF31036B,"{""VW Golf Mk 5 (1K)"":""Estate (2WD) 1.41.4FSi,1.6,1.6FSi,1.4TSi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,49,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF29036B,"{""VW Golf Mk 5 (1K)"":""Estate (2WD) 1.9TDi2.0SDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,50,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF27036B,"{""VW Golf Mk 5 (1K)"":""Estate (2WD) 2.0TFSi GTi2.0TFSi GTi Edition 30,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,51,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF30036B,"{""VW Golf Mk 5 (1K)"":""Estate (4Motion ) 2.0FSi2.0TFSi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,52,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF31036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (2WD) 1.41.4FSi,1.6,1.6FSi,1.4TSi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,53,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF29036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (2WD) 1.9TDi2.0SDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,54,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF27036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (2WD) 2.0TFSi GTi2.0TFSi GTi Edition 30,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,55,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF30036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (4Motion ) 2.0FSi2.0TFSi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,56,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF28036B,"{""VW Golf Mk 5 (1K)"":""Hatchback (4Motion ) R32 3.2V6Will only fit models fitted with 55mm front struts (not 50mm)., 2003-2008 (1K)""}",0,,57,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF37036B,"{""VW Golf Mk 6 (5K)"":""Cabriolet (2WD) 1.41.6,1.2TSi,1.4TSi,1.8TSi,2.0TFSi,1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,58,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF36036B,"{""VW Golf Mk 6 (5K)"":""Estate (2WD) 1.41.6,1.2TSi,1.4TSi,1.8TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,59,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
