Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Series,Year,Engine cc,Type,PartNumber
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80/90,,893A 89AAD,86-91,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80,,8CABK 8CNG,91-95,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80/90 QUATTRO,,89SDF 893AF,86-91,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,80 QUATTRO,,,91-95,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,100/100 AVANT,,,82-86/7,,,"EIP023
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,100 (Ｃ4),,,91-95,,,"EIP104
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,100 QUATTRO,,,86/8-91/4,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,100 QUATTRO,,,89/9-91,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,100 QUATTRO (Ｃ4),,,91-95,,,"EIP104
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,200,,,86/1-90/11,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,200 QUATTRO,,,86/1-90/11,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A1,,8XCAX,11/1-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A1 SPORTBAＣK,,8XCAX,12/6-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A3,,8PCAX,08/9-,,,"EIP122
EIP025"
