Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Year,Engine cc,Type,PartNumber
,,トヨタ / TOYOTA,,+　アリスト JZS147／UZS143  91.10～,,,,BASIC,ER220B
,,トヨタ / TOYOTA,,+　アリスト JZS147／UZS143  91.10～,,,,CURVING SLIT,ER220CSN
,,トヨタ / TOYOTA,,+　アリスト JZS147／UZS143  91.10～,,,,E－SLIT,ER220ES
,,トヨタ / TOYOTA,,+　アリスト JZS147／UZS143  91.10～,,,,Racing E－SLIT,ER220REA
,,トヨタ / TOYOTA,,+　アリスト JZS160／JZS161  97.8～,,,,BASIC,ER220B
,,トヨタ / TOYOTA,,+　アリスト JZS160／JZS161  97.8～,,,,CURVING SLIT,ER220CSN
,,トヨタ / TOYOTA,,+　アリスト JZS160／JZS161  97.8～,,,,E－SLIT,ER220ES
,,トヨタ / TOYOTA,,+　アリスト JZS160／JZS161  97.8～,,,,Racing E－SLIT,ER220REA
,,トヨタ / TOYOTA,,+　アルテッツァ  SXE10／GXE10(F;296㎜ディスク車)  98.10～,,,,BASIC,ER220B
,,トヨタ / TOYOTA,,+　アルテッツァ  SXE10／GXE10(F;296㎜ディスク車)  98.10～,,,,CURVING SLIT,ER220CSN
,,トヨタ / TOYOTA,,+　アルテッツァ  SXE10／GXE10(F;296㎜ディスク車)  98.10～,,,,E－SLIT,ER220ES
,,トヨタ / TOYOTA,,+　アルテッツァ  SXE10／GXE10(F;296㎜ディスク車)  98.10～,,,,Racing E－SLIT,ER220REA
,,トヨタ / TOYOTA,,+　アルテッツァジータ  JCE10.JCE15W／GXE10W(F;296㎜ディスク車)  01.7～,,,,BASIC,ER220B
,,トヨタ / TOYOTA,,+　アルテッツァジータ  JCE10.JCE15W／GXE10W(F;296㎜ディスク車)  01.7～,,,,CURVING SLIT,ER220CSN
,,トヨタ / TOYOTA,,+　アルテッツァジータ  JCE10.JCE15W／GXE10W(F;296㎜ディスク車)  01.7～,,,,E－SLIT,ER220ES
,,トヨタ / TOYOTA,,+　アルテッツァジータ  JCE10.JCE15W／GXE10W(F;296㎜ディスク車)  01.7～,,,,Racing E－SLIT,ER220REA
