Category (Parent),Category URL (Parent),Category - Leaf (Child 1),Category URL - Leaf (Child 1),Product URL,PartNumber,Product Title,Product Subtitle,Product Description,Image URLs,Price,List of Vehicle Compatibility,Brand,OE number / cross-reference,Others,Other_fitment
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-r6bp1,R6BP1,SMART-O Blister Pack Sump Plug M14 x 1.5mm R6,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/R/6/R6BP1.jpg,$12.95, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-r1bp1,R1BP1,SMART-O Blister Pack Sump Plug M12 x 1.25mm R1,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/R/1/R1BP1.jpg,$10.12, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-r3bp1,R3BP1,SMART-O Blister Pack Sump Plug M14 x 1.5mm R3,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/R/3/R3BP1.jpg,$9.80, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-wbp8,WBP8,SMART-O Blister Pack Assorted Washers (8 Pack) WBP8,,Bulk pack Aluminum washers for use with SMART-O or any regular oil drain / sump plug.,https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/w/a/washer-bag_12.jpg,$7.59, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-f1bp1,F1BP1,SMART-O Blister Pack Sump Plug M12 x 1.75mm F1,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/F/1/F1BP1.jpg,$10.52, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-f3bp1,F3BP1,SMART-O Blister Pack Sump Plug M14 x 1.5mm F3,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/F/3/F3BP1.jpg,$10.80, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-r5bp1,R5BP1,SMART-O Blister Pack Sump Plug M12 x 1.5mm R5,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/R/5/R5BP1.jpg,$8.88, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-r23bp1,R23BP1,SMART-O Blister Pack Sump Plug M18 x 1.5mm R23,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/R/2/R23BP1.jpg,$10.18, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-r16bp1,R16BP1,SMART-O Blister Pack Sump Plug M16 x 1.5mm R16,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/R/1/R16BP1.jpg,$11.07, ,Smart-O,,,
Home  Servicing ,https://automotivesuperstore.com.au,Home  Servicing  Oil  Sump Plug Washer,https://automotivesuperstore.com.au/service/oil/sump-plug-washer,https://automotivesuperstore.com.au/smart-o-s18bp1,S18BP1,SMART-O Blister Pack Sump Plug M22 x 1.5mm S18,,"High performance sealing and locking oil drain plug / sump plug, with special O-ring, washer/gasket included
SMART-O was engineered to protect your engine and the environment. It’s the most advanced oil drain plug / sump plug, featuring a patented sealing and locking mechanism to offer engine protection by reducing the risk of plug loss, oil leaks and catastrophic oil loss. A special alloy reduces wear and stripping of oil pan threads. The industry’s first unified torque setting and a quick identification system allows faster installation. The relatively lower torque required reduces the risk of overtorqing the oil drain plug / sump plug. An intelligent O-ring material expands on exposure to oil, offering a powerful sealing and locking mechanism. While reducing the risk of oil loss and engine oil pollution of our water, this oil drain plug can be used as part of a green oil change solution – together with synthetic engine oil, re-refined oil and a long life oil filter.

High-tech O-ring material expands upon contact with engine oil
Patented sealing and locking function
Engine and oil pan protection
Faster installation: preassembled washer/gasket, easy plug ID, unified oil drain plug torque
Organic coating free of toxic Cr6
Reusable and recyclable
ECO-protection: reduces risk of oil leaks – for water protection",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/S/1/S18BP1.jpg,$13.72, ,Smart-O,,,
